Product_ID,Product_Name,Brand,Category,Collection,Season,Base_Price
P001,Puma Eco Tee,Puma,Footwear,Essentials,Spring,79
P002,Puma Classic Jacket,Puma,Apparel,Luxury,Summer,74
P003,Uniqlo Eco Tee,Uniqlo,Apparel,Essentials,Winter,38
P004,Adidas Urban Tee,Adidas,Apparel,Premium,Winter,81
P005,Nike Elite Jeans,Nike,Accessories,Premium,Spring,153
P006,Nike Classic Jeans,Nike,Apparel,Premium,Summer,127
P007,H&M Flex Bag,H&M,Apparel,Premium,Winter,64
P008,Gucci Urban Tee,Gucci,Bags,Essentials,Summer,342
P009,Levi's Eco Tee,Levi's,Bags,Sports,Winter,96
P010,H&M Flex Jacket,H&M,Bags,Essentials,Autumn,39
P011,Zara Elite Jeans,Zara,Apparel,Sports,Autumn,66
P012,Gucci Flex Cap,Gucci,Bags,Essentials,Spring,388
P013,H&M Flex Bag,H&M,Apparel,Sports,Autumn,66
P014,Uniqlo Urban Jeans,Uniqlo,Accessories,Essentials,Winter,57
P015,H&M Urban Jacket,H&M,Bags,Essentials,Autumn,38
P016,Uniqlo Eco Bag,Uniqlo,Bags,Essentials,Winter,60
P017,Nike Flex Bag,Nike,Bags,Sports,Autumn,170
P018,Uniqlo Urban Cap,Uniqlo,Footwear,Essentials,Summer,44
P019,Adidas Elite Tee,Adidas,Apparel,Premium,Summer,108
P020,Nike Eco Jeans,Nike,Bags,Premium,Autumn,96
P021,Zara Flex Jacket,Zara,Bags,Sports,Winter,70
P022,H&M Classic Sneaker,H&M,Bags,Premium,Spring,42
P023,Gucci Classic Jeans,Gucci,Footwear,Essentials,Spring,302
P024,Nike Urban Jeans,Nike,Apparel,Luxury,Spring,89
P025,Uniqlo Elite Jacket,Uniqlo,Footwear,Premium,Autumn,73
P026,H&M Flex Bag,H&M,Apparel,Sports,Winter,60
P027,H&M Flex Cap,H&M,Footwear,Essentials,Autumn,46
P028,Nike Eco Tee,Nike,Apparel,Essentials,Autumn,98
P029,Levi's Elite Sneaker,Levi's,Apparel,Sports,Autumn,126
P030,Puma Urban Jeans,Puma,Footwear,Premium,Autumn,151
P031,Adidas Eco Jacket,Adidas,Footwear,Sports,Summer,100
P032,Puma Elite Sneaker,Puma,Apparel,Luxury,Autumn,130
P033,Puma Classic Sneaker,Puma,Bags,Sports,Autumn,116
P034,H&M Flex Jeans,H&M,Footwear,Premium,Autumn,43
P035,Zara Classic Cap,Zara,Bags,Luxury,Autumn,86
P036,H&M Urban Jacket,H&M,Bags,Sports,Summer,60
P037,Puma Flex Cap,Puma,Apparel,Sports,Winter,129
P038,H&M Urban Jeans,H&M,Footwear,Essentials,Summer,31
P039,Gucci Elite Sneaker,Gucci,Footwear,Premium,Winter,586
P040,Nike Urban Jacket,Nike,Apparel,Essentials,Spring,147
P041,Adidas Eco Sneaker,Adidas,Footwear,Essentials,Summer,112
P042,Puma Elite Jacket,Puma,Accessories,Premium,Summer,77
P043,Uniqlo Urban Jeans,Uniqlo,Footwear,Premium,Spring,63
P044,Zara Classic Jeans,Zara,Footwear,Essentials,Winter,84
